Hora,Nombre completo del usuario,Nombre evento,Descripción,Dirección IP
6/04/2022 19:38,Jynx,Grabación vista,The user with id 23 has viewed a recording with id 6f35441221a0b2db76067447730f61806c9aea71-1649181643387 from the course id 1110.,186.137.50.21
6/04/2022 19:17,Venomoth,Grabación vista,The user with id 25 has viewed a recording with id 6f35441221a0b2db76067447730f61806c9aea71-1649181643387 from the course id 1110.,200.127.94.64
6/04/2022 17:57,Muk,Grabación vista,The user with id 89 has viewed a recording with id 6f35441221a0b2db76067447730f61806c9aea71-1648576898053 from the course id 1110.,190.19.116.37
6/04/2022 16:11,Nidoking,Grabación vista,The user with id 108 has viewed a recording with id 6f35441221a0b2db76067447730f61806c9aea71-1648576898053 from the course id 1110.,191.84.224.178
6/04/2022 15:31,Furret,Grabación vista,The user with id 93 has viewed a recording with id 6f35441221a0b2db76067447730f61806c9aea71-1649181643387 from the course id 1110.,181.46.136.207
6/04/2022 14:59,Hitmonlee,Grabación vista,The user with id 77 has viewed a recording with id 6f35441221a0b2db76067447730f61806c9aea71-1649181643387 from the course id 1110.,181169226221
6/04/2022 14:50,Alakazam,Grabación vista,The user with id 34 has viewed a recording with id 6f35441221a0b2db76067447730f61806c9aea71-1649181643387 from the course id 1110.,190.17.2.248
6/04/2022 14:22,Dugtrio,Grabación vista,The user with id 110 has viewed a recording with id 6f35441221a0b2db76067447730f61806c9aea71-1649181643387 from the course id 1110.,152169134151
6/04/2022 12:30,Voltorb,Grabación vista,The user with id 84 has viewed a recording with id 6f35441221a0b2db76067447730f61806c9aea71-1647972043612 from the course id 1110.,186152129220
6/04/2022 12:27,Diglett,Grabación vista,The user with id 33 has viewed a recording with id 6f35441221a0b2db76067447730f61806c9aea71-1649181643387 from the course id 1110.,186.22.57.35
6/04/2022 12:07,Muk,Grabación vista,The user with id 89 has viewed a recording with id 6f35441221a0b2db76067447730f61806c9aea71-1648576898053 from the course id 1110.,190.19.116.37
6/04/2022 10:28,Persian,Grabación vista,The user with id 97 has viewed a recording with id 6f35441221a0b2db76067447730f61806c9aea71-1649181643387 from the course id 1110.,190.188.16.222
6/04/2022 09:54,Snorlax,Grabación vista,The user with id 132 has viewed a recording with id 6f35441221a0b2db76067447730f61806c9aea71-1649181643387 from the course id 1110.,191.84.229.34
6/04/2022 09:17,Zubat,Grabación vista,The user with id 90 has viewed a recording with id 6f35441221a0b2db76067447730f61806c9aea71-1649181643387 from the course id 1110.,181231132231
6/04/2022 01:19,Rapidash,Grabación vista,The user with id 106 has viewed a recording with id 6f35441221a0b2db76067447730f61806c9aea71-1649181643387 from the course id 1110.,186.22.19.43
6/04/2022 01:17,Rapidash,Grabación vista,The user with id 106 has viewed a recording with id 6f35441221a0b2db76067447730f61806c9aea71-1647366967336 from the course id 1110.,186.22.19.43
6/04/2022 00:38,Rapidash,Grabación vista,The user with id 106 has viewed a recording with id 6f35441221a0b2db76067447730f61806c9aea71-1647366967336 from the course id 1110.,186.22.19.43
6/04/2022 00:24,Snorlax,Grabación vista,The user with id 132 has viewed a recording with id 6f35441221a0b2db76067447730f61806c9aea71-1649181643387 from the course id 1110.,191.84.229.34
6/04/2022 00:17,Rapidash,Grabación vista,The user with id 106 has viewed a recording with id 6f35441221a0b2db76067447730f61806c9aea71-1647972043612 from the course id 1110.,186.22.19.43
